,0,1,2,3,4,5,Churn
0,-2.0213025,-0.39941583,3.897218393,-0.095714898,1.46579687,1.199523613,0
1,-0.692604425,-0.847957273,-0.006674071,-0.735413589,-1.646121884,-1.103359239,0
2,-1.318873402,-2.028320707,-0.091869983,-0.559051482,-0.578048272,-0.950266106,1
3,-0.465331067,0.728752021,4.050848565,0.443520575,-1.441867856,-1.028511133,0
4,-2.877154876,-1.897988021,-0.57171799,-0.464116155,-0.263906905,1.027322328,1
5,-1.971513023,-1.146036745,-0.470673502,0.787735893,0.440351412,1.030969299,1
6,-1.769932108,0.40103648,-0.194456371,-0.830946159,-0.424761823,-0.908668678,0
7,-1.675395788,-0.902970186,4.401007866,-0.11462338,-0.659068643,1.045322354,0
8,-1.406734414,0.142000607,-0.799044608,0.441894052,1.204285602,1.071871854,1
9,-0.291922925,0.566112238,-0.083444439,-1.838692228,-1.508284649,-1.049651052,0
10,-1.362350067,-0.405657557,-0.199138347,-2.503402137,0.927013383,-0.825624465,0
11,4.806897432,-1.007108924,0.054858081,0.54542647,-1.62305973,-1.076004268,0
12,-0.893508472,1.973698379,-0.534038647,0.014983209,-1.190024158,-1.08224867,0
13,-1.257230746,0.285642174,-0.68163433,1.172013176,-0.56971544,-1.022034552,1
14,-0.922632495,-1.231582905,-1.370938205,0.55926557,0.207797826,-0.989460153,0
15,0.796038832,3.324987035,-0.863152128,-0.727380419,-0.763217302,0.972524146,0
16,4.48774552,-1.206350809,-0.126226852,0.854028659,-0.684222614,0.911221697,0
17,-0.211857624,2.291163066,-0.517864503,-0.43073024,-1.180133444,-1.08677241,0
18,-0.470940336,-0.036109116,-0.055416116,-2.781476141,-0.619092585,1.063785051,1
19,-1.68352139,-1.366095935,-1.125089454,0.350239122,0.024701812,1.002200827,0
20,-2.057684737,-1.113651438,3.60753218,2.089060503,1.800608974,-0.965205916,1
21,4.567282925,-1.038929896,-0.091554889,-0.144025448,0.038454377,-0.977715978,0
22,4.107920479,-2.885810134,0.151768868,0.28815808,-0.032267257,-0.996860012,1
23,-0.609343357,2.113735668,0.129847164,-0.02158387,-1.397852709,0.9873322,0
24,0.049177912,0.819966267,-0.216470993,-2.541241073,-0.759927221,-0.953134234,0
25,-1.155246318,-1.13584696,-0.244658677,-0.259485464,-1.303370977,1.000752644,0
26,-1.529125896,1.095978525,-0.748168035,-0.889264219,1.967190865,-0.851231289,1
27,-1.481635082,0.051861356,4.225660194,-2.009749567,1.717581106,-0.788964978,1
28,0.909629565,2.572132507,-0.570451595,0.847788308,-0.866765003,-1.020865725,0
29,-1.168510983,-1.045861789,-0.510134061,-1.2538642,0.378453623,1.093143663,1
30,-0.734117146,2.892572267,-0.963591024,1.880314821,-0.458546962,0.866808805,0
31,-1.704148096,-0.141748167,-1.558995212,0.969601742,0.727170995,-1.028391921,0
32,0.404716613,0.406339376,-0.365458613,-2.33200648,0.050800354,1.049996609,0
33,4.199840719,-2.636328005,0.161326393,0.27969839,-0.510668369,-1.004607231,0
34,-1.999209949,-1.877092493,0.112018243,0.004967386,-0.823693488,-1.142980388,0
35,-0.040127678,3.06785366,-0.536310695,-1.190459933,-0.606634784,0.98384637,0
36,-2.855807841,-1.840230625,-0.535194314,-0.526638624,-0.193379993,-0.96932558,1
37,-2.057471984,-0.130023548,-0.826317784,0.047033472,-1.857668897,0.941334443,0
38,-1.512412752,-0.527699267,-0.674370408,1.083227247,0.471400939,-0.988744032,1
39,-1.761335178,-0.595522885,-0.441010175,0.785955674,-0.532837533,1.012160502,1
40,-0.828192473,-0.042557379,0.007264596,-2.88342567,0.159965017,-0.92413089,0
41,-0.010182939,2.979902509,-0.140434061,-0.960416219,-0.463881044,1.060887556,0
42,4.700020809,-0.606411064,-0.16072544,-1.291242276,1.174972972,1.097625386,0
43,0.43988042,1.490031723,-0.144458025,1.138941832,-2.001715005,0.918594331,0
44,-0.758086913,-0.635637475,0.022701427,-0.168862212,1.061272244,1.120439592,0
45,-2.579444973,-0.31280628,-0.252676912,0.625450522,-0.110904066,0.989569579,0
46,-1.401093778,-2.138124392,0.248457293,-1.158131913,-1.180096859,-1.035257652,0
47,-2.537017099,-1.849016263,-0.823931713,-0.17563885,-0.036927963,1.028024091,1
48,-0.037022657,1.232326053,-0.065831506,0.917323425,-1.822463392,-1.055616876,0
49,0.057219593,2.935719751,0.041709903,-1.141421422,-0.694551846,1.048968041,0
50,-2.50420811,-0.375935102,-0.622588753,2.06845451,0.950922747,0.905644742,0
51,-1.077004748,-0.747887551,-1.246397112,0.41425861,-1.247821174,1.005401756,1
52,-1.106808263,0.393323281,-0.112600375,1.067076537,0.38794807,0.981874721,0
53,-2.578272294,0.364532308,-0.385544216,0.890867519,0.373771591,0.987383374,1
54,0.438053319,1.843555311,-1.248598769,0.104929215,0.650941984,0.976648659,0
55,-2.630049495,-0.907597052,-0.616421001,1.933365278,1.300904418,-1.060817404,1
56,-0.972390927,2.716118026,-0.795093001,-0.742657215,-0.020637066,1.079844543,0
57,-0.721742533,2.137676094,-1.299503229,0.958472326,2.589427976,-0.999562494,0
58,4.972738921,1.281028187,0.499215546,-0.679524746,0.054128646,1.056388731,0
59,-0.661059838,2.128189337,-0.866583046,1.525266506,-1.917253822,0.8858817,0
60,-1.756346263,0.565154303,-0.811292673,0.50869,1.104418865,1.046278788,0
61,-1.972070246,0.453768616,-0.370634973,0.761147794,-0.936842499,-1.02812612,0
62,-0.06218376,2.69812705,3.684603745,0.225965351,-0.88313507,-1.017986865,0
63,-0.52914486,0.773851506,-0.401473115,-2.088286003,-0.329425041,1.107335817,0
64,-2.044871618,-1.274218501,-0.060154176,0.046389711,-0.265936042,0.963108421,1
65,-0.73817317,-2.133967275,-0.669675223,0.179389516,0.245931802,1.044913722,0
66,-2.198499515,0.958699156,-0.290189632,-0.125269432,0.478751906,-0.957070651,0
67,0.624120078,-0.282658205,-0.664499278,0.190424334,-1.45864038,0.872403896,0
68,5.128995168,0.906601699,-0.308823258,-0.962124697,0.234593926,1.026951987,0
69,-1.954496453,-1.435890936,-0.727161976,-0.252051846,-0.616551971,-0.983500261,0
70,-1.390042478,-2.172652984,0.303207639,-1.246369124,-1.274990905,-1.037185532,0
71,4.40120854,0.039071683,-0.591379156,-0.456110985,2.06393644,1.138697297,0
72,-0.335905907,3.126382281,-1.28311756,0.90325141,1.268550254,-1.032481905,0
73,4.658291723,1.764755957,0.136541971,0.017352945,1.070245793,-0.887108584,0
74,-0.65779055,-1.149609342,-0.317508444,-1.528481649,-0.263173815,1.113077605,0
75,-0.783153441,0.427572958,-0.850009576,2.250669212,0.289504043,0.792408559,0
76,-0.915581697,-0.0800483,-0.118149155,-0.518421854,-2.628656219,0.86197512,0
77,-0.669438709,-0.608909075,-0.043459278,-2.850033675,0.351107218,1.103216667,0
78,-0.939528899,-1.493029653,-0.976641852,1.610268083,1.102404653,-1.069965947,0
79,4.451482586,1.119965129,0.193573864,-0.117004062,0.87528693,1.141553858,0
80,-2.307443723,-1.322633263,-0.796615152,-1.470376287,0.743345312,1.110183036,1
81,-0.768823174,0.363971217,3.710288889,-1.368946568,1.913468039,1.197851664,0
82,-2.173335733,-0.426821214,-0.866431193,-0.838796656,-0.271564799,1.05960607,1
83,-0.679883519,-0.34648511,-1.495208984,0.866817328,-0.832467143,0.964323736,0
84,4.58613735,0.434421524,-0.60093527,0.863941029,0.075602895,1.023426444,0
85,-1.692294283,-0.398602317,-0.398573852,0.656250236,-0.912123958,-0.971823486,0
86,-0.877129208,0.3743318,-0.634569055,-0.59686097,-0.586210473,1.029770024,0
87,5.118290959,0.865803343,-0.306868934,-0.975625958,0.24578879,1.029300614,0
88,4.707275248,0.675977218,-0.588840906,-0.432948175,1.345242908,1.115563341,0
89,-1.560602002,0.387760446,4.00111679,-0.400125955,0.441100662,-0.916077771,0
90,-1.185634026,0.57538812,-0.76473021,-2.399930233,-0.058852374,-0.951739362,0
91,-2.435253374,-1.983581695,-0.559383519,0.315156237,0.133200859,-1.13365909,0
92,0.548237779,2.467819257,-0.425771705,-0.63385521,0.806441955,-0.922617678,0
93,-0.741738152,0.91876501,-0.855249204,1.429262026,-1.234673396,0.95241755,0
94,-0.703747458,1.832767307,-0.811338234,1.502428916,-1.248661484,-1.095169568,0
